﻿Data;Indice di Crescita;Numero Imprese
2019-05;230;28386
2020-03;111;29842
2020-05;45;30015
2020-06;49;30126
2020-07;21;30267
2020-09;15;30434
2020-12;-163;30813
2021-04;151;31592
2021-09;28;32227
2021-10;77;32403
2022-03;90;33210
2022-04;-63;33369
2022-06;-48;33727
2022-07;-37;33860
2022-08;23;33948
2022-09;91;34083
2023-01;-15;34785
2023-02;-193;34800
2023-05;-523;34801
2023-08;-70;34801
2023-09;-96;34801
2023-11;-176;34801
2019-04;243;28235
2019-06;240;28545
2019-08;143;28790
2019-09;234;28951
2019-11;186;29260
2019-12;16;29375
2020-01;199;29542
2020-04;37;29924
2020-11;53;30719
2021-01;-150;30968
2021-02;9;31154
2021-05;101;31744
2021-07;-29;32044
2021-08;19;32103
2022-01;-449;32834
2022-05;18;33564
2023-04;-155;34800
2023-07;-181;34801
2023-12;-279;34801
2019-07;243;28689
2019-10;240;29118
2020-02;148;29715
2020-08;24;30331
2020-10;50;30597
2021-03;175;31396
2021-06;90;31910
2021-11;32;32566
2021-12;-155;32685
2022-02;30;33012
2022-10;68;34245
2022-11;41;34394
2022-12;-126;34540
2023-03;-325;34800
2023-06;-137;34801
2023-10;-382;34801
